,Article Title,Publication Year,Abstract,Author Keywords,resource_data
316,Towards More Accessible Human-AI Interactions in Sequential Decision-Making Tasks,2024,,,第1页.xls
317,"Influencing human-AI interaction by priming beliefs about AI can increase perceived trustworthiness, empathy and effectiveness",2023,"As conversational agents powered by large language models become more human-like, users are starting to view them as companions rather than mere assistants. Our study explores how changes to a person's mental model of an AI system affects their interaction with the system. Participants interacted with the same conversational AI, but were influenced by different priming statements regarding the AI's inner motives: caring, manipulative or no motives. Here we show that those who perceived a caring motive for the AI also perceived it as more trustworthy, empathetic and better-performing, and that the effects of priming and initial mental models were stronger for a more sophisticated AI model. Our work also indicates a feedback loop in which the user and AI reinforce the user's mental model over a short time; further work should investigate long-term effects. The research highlights the importance of how AI systems are introduced can notably affect the interaction and how the AI is experienced.The recent accessibility of large language models brought them into contact with a large number of users and, due to the social nature of language, it is hard to avoid prescribing human characteristics such as intentions to a chatbot. Pataranutaporn and colleagues investigated how framing a bot as helpful or manipulative can influence this perception and the behaviour of the humans that interact with it.",,第1页.xls
318,Diverse Conventions for Human-AI Collaboration [arXiv],2023,"Conventions are crucial for strong performance in cooperative multi-agent games, because they allow players to coordinate on a shared strategy without explicit communication. Unfortunately, standard multi-agent reinforcement learning techniques, such as self-play, converge to conventions that are arbitrary and non-diverse, leading to poor generalization when interacting with new partners. In this work, we present a technique for generating diverse conventions by (1) maximizing their rewards during self-play, while (2) minimizing their rewards when playing with previously discovered conventions (cross-play), stimulating conventions to be semantically different. To ensure that learned policies act in good faith despite the adversarial optimization of cross-play, we introduce mixed-play, where an initial state is randomly generated by sampling self-play and cross-play transitions and the player learns to maximize the self-play reward from this initial state. We analyze the benefits of our technique on various multi-agent collaborative games, including Overcooked, and find that our technique can adapt to the conventions of humans, surpassing human-level performance when paired with real users.",,第1页.xls
319,COLLABORATIVE DESIGN DECISION-MAKING WITH ARTIFICIAL INTELLIGENCE: EXPLORING THE EVOLUTION AND IMPACT OF HUMAN CONFIDENCE IN AI AND IN THEMSELVES,2022,"Decision-making assistance by artificial intelligence (AI) during design is only effective when human designers properly utilize AI input. However, designers often misjudge the AI's and/or their own ability, leading to erroneous reliance on AI and therefore bad designs. To avoid such outcomes, it is critical to understand the evolution of designers' confidence in both their AI teammate(s) and themselves during human-AI collaboration. Therefore, this work conducts a cognitive study to explore how experiencing various and changing (without notice) AI performance levels and feedback affects these confidences and consequently the decisions to accept or reject AI suggestions. The results first reveal that designers' confidence in an AI agent changes with poor, but not with good, AI performance. Interestingly, designers' self-confidence initially remains unaffected by AI accuracy; however, when the accuracy changes, self-confidence decreases regardless of the direction of the change. Moreover, this work finds that designers tend to infer flawed information from feedback, resulting in inappropriate levels of confidence in both the AI and themselves. Confidence in the AI and in themselves is also shown to affect designers' probability of accepting AI input in opposite directions. Finally, results that are uniquely applicable to design are identified by comparing the findings from this work to those from a similar study conducted with a non-design task. Overall, this work offers valuable insights that may enable prevention and detection of designers' inappropriate confidence and their consequent misuse of AI in design.",,第1页.xls
320,Affordances in Human-Chatbot Interaction: A Review of the Literature,2021,"The present study advances our understanding of human-AI interactions, by identifying and analyzing chatbot affordances in prior research. The results of this review consolidate research findings on chatbots' affordances, which must be taken into consideration when chatbot-based services are designed and deployed. Specifically, the review of state-of-the-art literature led to the identification of nine high level affordances: Human Like Conversing, Assistance Provision, Facilitation, Distilling Information, Enriching Information, Context Identification, Personalization, Fostering Familiarity and Ensuring Privacy. Our contribution is twofold. First, we map the chatbot affordances identified in prior research and group them in higher-level, overarching affordances through a thematic analysis. Furthermore, we identify areas for future research providing a foundation for researchers aiming to engage with the research area.",,第1页.xls
321,On the Emergence of Symmetrical Reality [arXiv],2024,"Artificial intelligence (AI) has revolutionized human cognitive abilities and facilitated the development of new AI entities capable of interacting with humans in both physical and virtual environments. Despite the existence of virtual reality, mixed reality, and augmented reality for several years, integrating these technical fields remains a formidable challenge due to their disparate application directions. The advent of AI agents, capable of autonomous perception and action, further compounds this issue by exposing the limitations of traditional human-centered research approaches. It is imperative to establish a comprehensive framework that accommodates the dual perceptual centers of humans and AI agents in both physical and virtual worlds. In this paper, we introduce the symmetrical reality framework, which offers a unified representation encompassing various forms of physical-virtual amalgamations. This framework enables researchers to better comprehend how AI agents can collaborate with humans and how distinct technical pathways of physical-virtual integration can be consolidated from a broader perspective. We then delve into the coexistence of humans and AI, demonstrating a prototype system that exemplifies the operation of symmetrical reality systems for specific tasks, such as pouring water. Subsequently, we propose an instance of an AI-driven active assistance service that illustrates the potential applications of symmetrical reality. This paper aims to offer beneficial perspectives and guidance for researchers and practitioners in different fields, thus contributing to the ongoing research about human-AI coexistence in both physical and virtual environments.",,第1页.xls
322,Tackling Cooperative Incompatibility forZero-Shot Human-AI Coordination,2024,"Securing coordination between AI agent and teammates (human players or AI agents) in contexts involving unfamiliar humans continues to pose a significant challenge in Zero-Shot Coordination. The issue of cooperative incompatibility becomes particularly prominent when an AI agent is unsuccessful in synchronizing with certain previously unknown partners. Traditional algorithms have aimed to collaborate with partners by optimizing fixed objectives within a population, fostering diversity in strategies and behaviors. However, these techniques may lead to learning loss and an inability to cooperate with specific strategies within the population, a phenomenon named cooperative incompatibility in learning. In order to solve cooperative incompatibility in learning and effectively address the problem in the context of ZSC, we introduce the Cooperative Open-ended Learning (COLE)framework, which formulates open-ended objectives in cooperative games with two players using perspectives of graph theory to evaluate and pinpoint the cooperative capacity of each strategy. We present two practical algorithms, specifically COLESV and COLER, which in corporate insights from game theory and graph theory. We also show that COLE could effectively overcome the cooperative incompatibility from theoretical and empirical analysis. Subsequently, we created an online Overcooked human-AI experiment platform, the COLE platform, which enables easy customization of questionnaires, model weights, and other aspects. Utilizing the COLE platform, we enlist 130 participants for human experiments. Our findings reveal a preference for our approach over state-of-the-art methods using a variety of subjective metrics. Moreover, objective experimental outcomes in the Over cooked game environment indicate that our method surpasses existing ones when coordinating with previously unencountered AI agents and the human proxy model. Our code and demo are publicly available athttps://sites.google.com/view/cole-2023",,第1页.xls
323,Conceptual Metaphors Impact Perceptions of Human-AI Collaboration [arXiv],2020,"With the emergence of conversational artificial intelligence (AI) agents, it is important to understand the mechanisms that influence users' experiences of these agents. We study a common tool in the designer's toolkit: conceptual metaphors. Metaphors can present an agent as akin to a wry teenager, a toddler, or an experienced butler. How might a choice of metaphor influence our experience of the AI agent? Sampling metaphors along the dimensions of warmth and competencedefined by psychological theories as the primary axes of variation for human social perceptionwe perform a study (N=260) where we manipulate the metaphor, but not the behavior, of a Wizard-of-Oz conversational agent. Following the experience, participants are surveyed about their intention to use the agent, their desire to cooperate with the agent, and the agent's usability. Contrary to the current tendency of designers to use high competence metaphors to describe AI products, we find that metaphors that signal low competence lead to better evaluations of the agent than metaphors that signal high competence. This effect persists despite both high and low competence agents featuring human-level performance and the wizards being blind to condition. A second study confirms that intention to adopt decreases rapidly as competence projected by the metaphor increases. In a third study, we assess effects of metaphor choices on potential users' desire to try out the system and find that users are drawn to systems that project higher competence and warmth. These results suggest that projecting competence may help attract new users, but those users may discard the agent unless it can quickly correct with a lower competence metaphor. We close with a retrospective analysis that finds similar patterns between metaphors and user attitudes towards past conversational agents such as Xiaoice, Replika, Woebot, Mitsuku, and Tay.",,第1页.xls
324,The Problem of AI Influence,2022,"AI is growing to play an increasingly important role in the decision environments of human agents. One of the key challenges here is AI influence-an aspect that seems largely unaddressed in current debates around AI Ethics. In this paper, I aim to shed some light on the notion of AI influence and the problems that surround it. This paper is split up into two parts. First, I will elaborate on what exactly I mean by AI influence. For this, I will introduce what I call the objectivity-fallacy and will differentiate between intended and unintended AI influence. Based on this, the second part of the paper will then show why AI influence is problematic for our standard characterisation and evaluation of human-AI interaction.",,第1页.xls
325,I am attracted to myCoolSmart Assistant! Analyzing Attachment-Aversion in AI-Human Relationships,2023,"The conversation between humans and Artificial Intelligence (AI)-enabled intelligent voice assistants (IVA) can create bonds that go beyond a mere utilitarian purpose. The emotional cues in a Human-AI conversation can lead consumers to feel connected with the AI-agents and even consider such a relationship ascool. Although brand coolness is known to affect consumer behavior, little is known about how consumers perceive a close relationship with IVAs and what the drivers of their use or avoidance are. Therefore, the current paper adds to the literature by analyzing how AI-enabled voice assistant experience affects IVA coolness and customer-brand relationships using the attachment-aversion (A-A) theory. A total of 308 consumers showed that affective, behavioral, and intellectual experiences with the intelligent voice assistant affect IVA coolness. IVA coolness was also found to affect A-A relationships positively, influencing consumers' motivational strength to adopt, maintain and enhance the relationship in the future. All rights reserved Elsevier.",,第1页.xls
326,Achieving Trust in Future Human Interactions with Omnipresent AI: Some Postulates,2022,"Trust is a fundamental ingredient of interaction, especially in high-responsibility roles where Artificial Intelligence (AI) is predicated to use its faculties to empower a user. Present AI systems are too limited in their programmes and approaches as they appear to lack an ability to perceive their purpose and learn the user's needs. This leaves much uncertainty when the system is engaged in processes with wide range of possibilities such as driving a car. Users find difficulty in ascertaining the AI's control of the situation with current human-computer interaction methods. It is hoped that this paper will show AI researchers developing a direction for such interactions to understand the basis behind a trustworthy social AI. This paper presents postulates on future human interaction with what we call omnipresent AI based on trust. This is done through establishing elements of interaction which are present in human-to-human communication, based on Speech-Act and Communicative Action Theory. The factors which contribute to an Omnipresent AI being recognised as an intelligent being are also laid out, which together forms the principles behind trustworthy Human-AI interaction. The paper then proceeds to propose a form which the omnipresent AI could take, based on earlier studies done by the authors.",,第1页.xls
327,Content Moderation on Social Media: Does It Matter Who and Why Moderates Hate Speech?,2023,"Artificial intelligence (AI) has been increasingly integrated into content moderation to detect and remove hate speech on social media. An online experiment (N=478) was conducted to examine how moderation agents (AI vs. human vs. human-AI collaboration) and removal explanations (with vs. without) affect users' perceptions and acceptance of removal decisions for hate speech targeting social groups with certain characteristics, such as religion or sexual orientation. The results showed that individuals exhibit consistent levels of perceived trustworthiness and acceptance of removal decisions regardless of the type of moderation agent. When explanations for the content takedown were provided, removal decisions made jointly by humans and AI were perceived as more trustworthy than the same decisions made by humans alone, which increased users' willingness to accept the verdict. However, this moderated mediation effect was only significant when Muslims, not homosexuals, were the target of hate speech.",,第1页.xls
328,Dynamic Knowledge Injection for AIXI Agents,2024,"Prior approximations of AIXI, a Bayesian optimality notion for general reinforcement learning, can only approximate AIXI's Bayesian environment model using an a-priori defined set of models. This is a fundamental source of epistemic uncertainty for the agent in settings where the existence of systematic bias in the predefined model class cannot be resolved by simply collecting more data from the environment. We address this issue in the context of Human-AI teaming by considering a setup where additional knowledge for the agent in the form of new candidate models arrives from a human operator in an online fashion. We introduce a new agent called DynamicHedgeAIXI that maintains an exact Bayesian mixture over dynamically changing sets of models via a time-adaptive prior constructed from a variant of the Hedge algorithm. The DynamicHedgeAIXI agent is the richest direct approximation of AIXI known to date and comes with good performance guarantees. Experimental results on epidemic control on contact networks validates the agent's practical utility.",,第1页.xls
329,Collaborative Ideation Partner: Design Ideation in Human-AI Co-creativity,2021,"AI-based co-creative design systems enable users to collaborate with an AI agent on open-ended creative tasks during the design process. This paper describes a co-creative system that supports design creativity by providing inspiring design solutions in the initial idea generation process, based on the visual and conceptual similarity to sketches drawn by a designer. The interactive experience allows the user to seek inspiration collaborating with the AI agent as needed. In this paper, we study how the visual and conceptual similarity of the inspiring design from the AI partner influences design ideation by examining the effect on design ideation during a design task. Our findings show that the AI-based stimuli produce ideation outcomes with more variety and novelty when compared to random stimuli.",,第1页.xls
330,Understanding the design space of ai-mediated social interaction in online learning: challenges and opportunities,2022,"Our online interactions are constantly mediated through Artificial Intelligence (AI), especially our social interactions. AI-mediated social interaction is the AI-facilitated process of building and maintaining social connections between individuals through information inferred from people's online posts. With its impending application across a number of contexts, the challenges and opportunities of AI-mediated social interaction remain underexplored. This paper seeks to understand the design space of AI-mediated social interaction in the context of online learning, where students frequently face social isolation. We deployed an AI agent named SAMI in three class discussion forums to help online learners build social connections. Using SAMI as a probe, we conducted semi-structured interviews with 26 students to understand their difficulties in remote social interactions and their experiences with SAMI. Through the lenses of social translucence and social-technical gap, we illustrate online learners' difficulties in remote social interactions and how SAMI resolved some of the difficulties. We also identify potential ethical and social challenges of SAMI such as user agency and privacy. Based on our findings, we outline the design space of AI-mediated social interaction. We discuss the design tension between AI performance and ethical design and pinpoint two design opportunities for AI-mediated social interaction in designing towards human-AI collaborative social matching and artificial serendipity.",,第1页.xls
331,AI and Ethics When Human Beings Collaborate With AI Agents.,2022,"The relationship between a human being and an AI system has to be considered as a collaborative process between two agents during the performance of an activity. When there is a collaboration between two people, a fundamental characteristic of that collaboration is that there is co-supervision, with each agent supervising the actions of the other. Such supervision ensures that the activity achieves its objectives, but it also means that responsibility for the consequences of the activity is shared. If there is no co-supervision, neither collaborator can be held co-responsible for the actions of the other. When the collaboration is between a person and an AI system, co-supervision is also necessary to ensure that the objectives of the activity are achieved, but this also means that there is co-responsibility for the consequences of the activities. Therefore, if each agent's responsibility for the consequences of the activity depends on the effectiveness and efficiency of the supervision that that agent performs over the other agent's actions, it will be necessary to take into account the way in which that supervision is carried out and the factors on which it depends. In the case of the human supervision of the actions of an AI system, there is a wealth of psychological research that can help us to establish cognitive and non-cognitive boundaries and their relationship to the responsibility of humans collaborating with AI systems. There is also psychological research on how an external observer supervises and evaluates human actions. This research can be used to programme AI systems in such a way that the boundaries of responsibility for AI systems can be established. In this article, we will describe some examples of how such research on the task of supervising the actions of another agent can be used to establish lines of shared responsibility between a human being and an AI system. The article will conclude by proposing that we should develop a methodology for assessing responsibility based on the results of the collaboration between a human being and an AI agent during the performance of one common activity.",,第1页.xls
332,Explainable AI for medical imaging: Explaining pneumothorax diagnoses with Bayesian Teaching,2021,"Limited expert time is a key bottleneck in medical imaging. Due to advances in image classification, AI can now serve as decision-support for medical experts, with the potential for great gains in radiologist productivity and, by extension, public health. However, these gains are contingent on building and maintaining experts' trust in the AI agents. Explainable AI may build such trust by helping medical experts to understand the AI decision processes behind diagnostic judgements. Here we introduce and evaluate explanations based on Bayesian Teaching, a formal account of explanation rooted in the cognitive science of human learning. We find that medical experts exposed to explanations generated by Bayesian Teaching successfully predict the AI's diagnostic decisions and are more likely to certify the AI for cases when the AI is correct than when it is wrong, indicating appropriate trust. These results show that Explainable AI can be used to support human-AI collaboration in medical imaging.",,第1页.xls
333,Error Discovery through Human-AI Collaboration,2019,,,第1页.xls
334,Balancing Performance and Social Considerations for Autonomous Agents Interacting With Humans,2023,,,第1页.xls
335,Toward More Human-Like AI Communication: A Review of Emergent Communication Research,2023,"In the recent shift towards human-centric AI, the need for machines to accurately use natural language has become increasingly important. While a common approach to achieve this is to train large language models, this method presents a form of learning misalignment where the model may not capture the underlying structure and reasoning humans employ in using natural language, potentially leading to unexpected or unreliable behavior. Emergent communication (EmCom) is a field of research that has seen a growing number of publications in recent years, aiming to develop artificial agents capable of using natural language in a way that goes beyond simple discriminative tasks and can effectively communicate and learn new concepts. In this review, we present EmCom under two aspects. Firstly, we delineate all the common proprieties we find across the literature and how they relate to human interactions. Secondly, we identify two subcategories and highlight their characteristics and open challenges. We encourage researchers to work together by demonstrating that different methods can be viewed as diverse solutions to a common problem and emphasize the importance of including diverse perspectives and expertise in the field. We believe a deeper understanding of human communication and human-AI trust dynamics are crucial to develop machines that can accurately use natural language in human-machine interactions.",,第1页.xls
336,Human-AI collaboration: Unraveling the effects of user proficiency and AI agent capability in intelligent decision support systems,2024,"Artificial intelligence (AI) agents are integral components of modern intelligent decision support systems (IDSS), providing their capability to assist in decision-making processes. Understanding the influence of AI involvement on human responses within these systems is crucial for fostering appropriate reliance on AI advice and ensuring a comfortable user experience. This study delves into the impact of AI agents on decision change, correct rate change, confidence rate change and pleasure rating among users. It explores the main and interactive effects of user proficiency and AI agent capability on user responses. A block-factorial experiment involving 45 participants was conducted. The results indicated that high-capability AI agents were associated with substantial decision change, correct rate change and confidence rate change. Participants with higher proficiency, both subjectively and objectively, exhibited reduced reliance on AI agents for task execution. Notably, the involvement of AI agents led to a slight decline in correct rates for participants of high competence (i.e., participants' independent correct rate exceeds AI agent capability), while still enhancing their confidence levels. Additionally, agents lacking human-like embodiment tended to enhance participants' pleasure ratings. Individual differences in gender, collaboration experience with AI agent, and stereotype on AI agent capability also shaped the decision changes and pleasure ratings of participants. These findings underscore the presence of complementary competence interaction between user and AI agent within IDSS, and can be applied in designing capability of advisory AI agents with consideration of user proficiency and individual characteristics. Relevance to industry: The findings can be used as guidelines for designing AI agents and specifying their application strategies to integrate the assistance of AI agents effectively in intelligent decision support systems.",,第1页.xls
337,Conceptual Metaphors Impact Perceptions of Human-AI Collaboration,2020,"With the emergence of conversational artificial intelligence (AI) agents, it is important to understand the mechanisms that influence users' experiences of these agents. In this paper, we study one of the most common tools in the designer's toolkit: conceptual metaphors. Metaphors can present an agent as akin to a wry teenager, a toddler, or an experienced butler. How might a choice of metaphor influence our experience of the AI agent? Sampling a set of metaphors along the dimensions of warmth and competence---defined by psychological theories as the primary axes of variation for human social perception---we perform a study (N=260) where we manipulate the metaphor, but not the behavior, of a Wizard-of-Oz conversational agent. Following the experience, participants are surveyed about their intention to use the agent, their desire to cooperate with the agent, and the agent's usability. Contrary to the current tendency of designers to use high competence metaphors to describe AI products, we find that metaphors that signal low competence lead to better evaluations of the agent than metaphors that signal high competence. This effect persists despite both high and low competence agents featuring identical, human-level performance and the wizards being blind to condition. A second study confirms that intention to adopt decreases rapidly as competence projected by the metaphor increases. In a third study, we assess effects of metaphor choices on potential users' desire to try out the system and find that users are drawn to systems that project higher competence and warmth. These results suggest that projecting competence may help attract new users, but those users may discard the agent unless it can quickly correct with a lower competence metaphor. We close with a retrospective analysis that finds similar patterns between metaphors and user attitudes towards past conversational agents such as Xiaoice, Replika, Woebot, Mitsuku, and Tay.",,第1页.xls
338,Emergence of cooperation in the one-shot Prisoner's dilemma through Discriminatory and Samaritan AIs,2024,"As artificial intelligence (AI) systems are increasingly embedded in our lives, their presence leads to interactions that shape our behaviour, decision-making and social interactions. Existing theoretical research on the emergence and stability of cooperation, particularly in the context of social dilemmas, has primarily focused on human-to-human interactions, overlooking the unique dynamics triggered by the presence of AI. Resorting to methods from evolutionary game theory, we study how different forms of AI can influence cooperation in a population of human-like agents playing the one-shot Prisoner's dilemma game. We found that Samaritan AI agents who help everyone unconditionally, including defectors, can promote higher levels of cooperation in humans than Discriminatory AI that only helps those considered worthy/cooperative, especially in slow-moving societies where change based on payoff difference is moderate (small intensities of selection). Only in fast-moving societies (high intensities of selection), Discriminatory AIs promote higher levels of cooperation than Samaritan AIs. Furthermore, when it is possible to identify whether a co-player is a human or an AI, we found that cooperation is enhanced when human-like agents disregard AI performance. Our findings provide novel insights into the design and implementation of context-dependent AI systems for addressing social dilemmas.",,第1页.xls
339,AI as a Citizen: Eliciting Smart City Future Stories through Human-AI Collaborative Fiction Writing,2024,"Smart cities are becoming an inevitable trend in the design of urban futures. With the speed of technological advancement, by the time that smart city visions come to life, the urban environment could already be seen as a co-living space of humans and technological entities, such as Artificial Intelligence. This raises the question of whether these future visions should get already co-created by both people and technology, especially given AI's potential role as a decision-making agent in data-driven smart city visions (e.g. urban planning). In this workshop, we aim to explore how visions of smart city futures can be co-speculated by people and AI through the collaborative process of writing fiction. Through writing short speculative stories, we want to encourage participants to critically reflect on their own expectations about smart city futures, as well as on what values these should preferably be based on. Moreover, we will analyze and discuss the future narratives and potential biases that AI might bring into the process of futuring.",,第1页.xls
340,"A Smart Advisor for Software Delivery - a Bot framework for Awareness, Alerts and Advice",2019,"Software engineers typically rely on mental models of their project and peers for project-specific insights important to their work. Ever expanding software size and complexity makes it strenuous to maintain such mental models and leads to subjectivity. At the same time, consistent peer interactions lead to interrupts, thereby hampering productivity. Moreover, due to client mandates, typical project environments employ a plethora of heterogeneous tools, thus making the information retrieval process fairly complex. We believe that 'digital coworkers' leveraging Human-AI collaboration, have huge potential here to help out with such challenges. In this paper, we introduce the concept of Smart Advisor, an intelligence augmentation bot that employs domain and knowledge modeling and in-process analytics to automatically provide important insights (alerts and advice) and answer queries (awareness), using a conversational and interactive user interface.",,第1页.xls
341,Understanding the Dynamics in Creating Domain-Specific AI Design Guidelines: A Case Study of a Leading Digital Finance Company in South Korea,2024,"Artificial intelligence (AI) significantly impacts the user experience (UX) across a wide range of products and services. However, many practitioners find it challenging to design the UX for AI-enhanced products. Although there are human-AI interaction design guidelines available, they are often too generic to fully address domain-specific challenges in fields such as finance and healthcare. Additionally, they sometimes overlook the constraints imposed by different working environments. In this research, we conducted a case study at one of the leading financial corporations in South Korea to develop their own AI product interaction guidelines. We interviewed 13 practitioners including bank UX practitioners, design agency UX designers, and academic UX researchers who were involved in this initiative, to gather insights into their experiences with crafting these guidelines. Our findings revealed a mixed reception towards existing AI design resources among practitioners, underscoring the necessity to incorporate elements specific to banking services, such as the company's customer experience (CX) principles, overarching agent personas, multifaceted channels, and diverse interaction modalities. We also observed the importance of understanding the dynamics among various stakeholders within a company. We discuss the implications and design considerations for creating domain-specific resources specialized in AI interactions.",,第1页.xls
342,A Hierarchical Approach to Population Training for Human-AI Collaboration [arXiv],2023,"A major challenge for deep reinforcement learning (DRL) agents is to collaborate with novel partners that were not encountered by them during the training phase. This is specifically worsened by an increased variance in action responses when the DRL agents collaborate with human partners due to the lack of consistency in human behaviors. Recent work have shown that training a single agent as the best response to a diverse population of training partners significantly increases an agent's robustness to novel partners. We further enhance the population-based training approach by introducing a Hierarchical Reinforcement Learning (HRL) based method for Human-AI Collaboration. Our agent is able to learn multiple best-response policies as its low-level policy while at the same time, it learns a high-level policy that acts as a manager which allows the agent to dynamically switch between the low-level best-response policies based on its current partner. We demonstrate that our method is able to dynamically adapt to novel partners of different play styles and skill levels in the 2-player collaborative Overcooked game environment. We also conducted a human study in the same environment to test the effectiveness of our method when partnering with real human subjects.",,第1页.xls
343,StoryBuddy: A Human-AI Collaborative Chatbot for Parent-Child Interactive Storytelling with Flexible Parental Involvement,2022,"Despite its benefits for children's skill development and parentchild bonding, many parents do not often engage in interactive storytelling by having story-related dialogues with their child due to limited availability or challenges in coming up with appropriate questions. While recent advances made AI generation of questions from stories possible, the fully-automated approach excludes parent involvement, disregards educational goals, and underoptimizes for child engagement. Informed by need-finding interviews and participatory design (PD) results, we developed StoryBuddy, an AI-enabled system for parents to create interactive storytelling experiences. StoryBuddy's design highlighted the need for accommodating dynamic user needs between the desire for parent involvement and parent-child bonding and the goal of minimizing parent intervention when busy. The PD revealed varied assessment and educational goals of parents, which StoryBuddy addressed by supporting configuring question types and tracking child progress. A user study validated StoryBuddy's usability and suggested design insights for future parent-AI collaboration systems.",,第1页.xls
344,Explicable Planning as Minimizing Distance from Expected Behavior,2019,"In order to achieve effective human-AI collaboration, it is necessary for an AI agent to align its behavior with the human's expectations. When the agent generates a task plan without such considerations, it may often result in inexplicable behavior from the human's point of view. This may have serious implications for the human, from increased cognitive load to more serious concerns of safety around the physical agent. In this work, we present an approach to generate explicable behavior by minimizing the distance between the agent's plan and the plan expected by the human. To this end, we learn a mapping between plan distances (distances between expected and agent plans) and human's plan scoring scheme. The plan generation process uses this learned model as a heuristic. We demonstrate the effectiveness of our approach in a delivery robot domain.",,第1页.xls
345,Investigating the effect of Mental Models in User Interaction with an Adaptive Dialog Agent,2024,"Mental models play an important role in whether user interaction with intelligent systems, such as dialog systems is successful or not. Adaptive dialog systems present the opportunity to align a dialog agent's behavior with heterogeneous user expectations. However, there has been little research into what mental models users form when interacting with a task-oriented dialog system, how these models affect users' interactions, or what role system adaptation can play in this process, making it challenging to avoid damage to human-AI partnership. In this work, we collect a new publicly available dataset for exploring user mental models about information seeking dialog systems. We demonstrate that users have a variety of conflicting mental models about such systems, the validity of which directly impacts the success of their interactions and perceived usability of system. Furthermore, we show that adapting a dialog agent's behavior to better align with users' mental models, even when done implicitly, can improve perceived usability, dialog efficiency, and success. To this end, we argue that implicit adaptation can be a valid strategy for task-oriented dialog systems, so long as developers first have a solid understanding of users' mental models.",,第1页.xls
346,Artificial Interaction: Power and Labour in the Digital Society,2024,"Polycentricity theory is predicated on the existence of multiple decision-making centres within a metropolitan area, collectively using a mutually agreed conventional system of governance. The digital transformation has increasingly integrated agentic computational artefacts (or artificial intelligence systems) into these social arrangements, thereby extending the concept of polycentricity to encompass 'digital polycentricity.' Digital polycentricity can be examined through four distinct 'lenses': interactional, governmental, architectural, and axiological. In this paper, we employ the interactional lens to study artificial interaction. Our analysis highlights several critical issues related to power and labour in the digital society. To mitigate these issues, we propose two strategies for developing Value-Sensitive Operationalisation (VSO), a framework aimed at guiding the creation of socio-technical systems that are fit-for-purpose and contextually appropriate. These strategies include: 1) leveraging digital data objects to support collective action, and 2) embedding a sense of place in the design of algorithms. By using these strategies, VSO practitioners can develop artificial intelligence (AI) systems that effectively meet user needs and cultivate a human-AI relationship designed to re-empower human stakeholders.",,第1页.xls
347,Coupling Asymmetry Optimizes Collective Dynamics Over Multiplex Networks,2024,"Networks are often interconnected, with one system wielding greater influence over another. However, the effects of such asymmetry on self-organized phenomena (e.g., consensus and synchronization) are not well understood. Here, we study collective dynamics using a generalized graph Laplacian for multiplex networks containing layers that are asymmetrically coupled. We explore the nonlinear effects of coupling asymmetry on the convergence rate toward a collective state, finding that asymmetry induces one or more optima that maximally accelerate convergence. When a faster and a slower system are coupled, depending on their relative timescales, their optimal coupling is either cooperative (network layers mutually depend on one another) or non-cooperative (one network directs another without a reciprocated influence). It is often optimal for the faster system to more-strongly influence the slower one, yet counter-intuitively, the opposite can also be true. As an application, we model collective decision-making for a human-AI system in which a social network is supported by an AI-agent network, finding that a cooperative optimum requires that these two networks operate on a sufficiently similar timescale. More broadly, our work highlights the optimization of coupling asymmetry and timescale balancing as fundamental concepts for the design of collective behavior over interconnected systems.",,第1页.xls
348,"More Similar Values, More Trust? - the Effect of Value Similarity on Trust in Human-Agent Interaction",2021,"As AI systems are increasingly involved in decision making, it also becomes important that they elicit appropriate levels of trust from their users. To achieve this, it is first important to understand which factors influence trust in AI. We identify that a research gap exists regarding the role of personal values in trust in AI. Therefore, this paper studies how human and agent Value Similarity (VS) influences a human's trust in that agent. To explore this, 89 participants teamed up with five different agents, which were designed with varying levels of value similarity to that of the participants. In a within-subjects, scenario-based experiment, agents gave suggestions on what to do when entering the building to save a hostage. We analyzed the agent's scores on subjective value similarity, trust and qualitative data from open-ended questions. Our results show that agents rated as having more similar values also scored higher on trust, indicating a positive effect between the two. With this result, we add to the existing understanding of human-agent trust by providing insight into the role of value-similarity.",,第1页.xls
349,Cognitive Modeling of Anticipation: Unsupervised Learning and Symbolic Modeling of Pilots' Mental Representations.,2022,"The ability to anticipate team members' actions enables joint action towards a common goal. Task knowledge and mental simulation allow for anticipating other agents' actions and for making inferences about their underlying mental representations. In human-AI teams, providing AI agents with anticipatory mechanisms can facilitate collaboration and successful execution of joint action. This paper presents a computational cognitive model demonstrating mental simulation of operators' mental models of a situation and anticipation of their behavior. The work proposes two successive steps: (1) A hierarchical cluster algorithm is applied to recognize patterns of behavior among pilots. These behavioral clusters are used to derive commonalities in situation models from empirical data (N = 13 pilots). (2) An ACT-R (adaptive control of thought - rational) cognitive model is implemented to mentally simulate different possible outcomes of action decisions and timing of a pilot. model tracing of ACT-R allows following up on operators' individual actions. Two models are implemented using the symbolic representations of ACT-R: one simulating normative behavior and the other by simulating individual differences and using subsymbolic learning. Model performance is analyzed by a comparison of both models. Results indicate the improved performance of the individual differences over the normative model and are discussed regarding implications for cognitive assistance capable of anticipating operatorbehavior.",,第1页.xls
